iter	Passed	Remaining
283	58964	148657
284	59157	148412
285	59330	148119
286	59494	147802
287	59688	147562
288	59933	147447
289	60149	147261
290	60356	147055
291	60516	146731
292	60684	146430
293	60893	146227
294	61063	145931
295	61222	145609
296	61412	145362
297	61615	145146
298	61785	144854
299	61950	144550
300	62197	144439
301	62410	144247
302	62572	143937
303	62773	143717
304	62961	143469
305	63178	143287
306	63405	143126
307	63625	142951
308	63823	142724
309	64134	142751
310	64336	142532
311	64520	142275
312	64707	142025
313	64919	141831
314	65117	141605
315	65302	141350
316	65523	141175
317	65705	140914
318	65917	140719
319	66080	140420
320	66254	140144
321	66444	139905
322	66620	139634
323	66815	139405
324	67007	139170
325	67270	139080
326	67412	138741
327	67604	138506
328	67805	138290
329	68015	138092
330	68229	137900
331	68393	137611
332	68588	137383
333	68829	137247
334	69045	137060
335	69260	136872
336	69437	136609
337	69690	136495
338	69956	136405
339	70167	136207
340	70350	135956
341	70516	135672
342	70715	135452
343	70972	135343
344	71205	135187
345	71405	134968
346	71618	134774
347	71784	134492
348	71956	134223
349	72134	133964
350	72359	133792
351	72576	133606
352	72789	133413
353	72992	133201
354	73183	132967
355	73362	132712
356	73570	132509
357	73755	132265
358	73991	132113
359	74210	131929
360	74368	131638
361	74565	131416
362	74762	131195
363	74974	131000
364	75142	130727
365	75364	130549
366	75564	130333
367	75785	130153
368	76017	129992
369	76206	129757
370	76446	129608
371	76641	129383
372	76842	129168
373	77129	129099
374	77306	128844
375	77509	128632
376	77693	128390
377	77889	128167
378	78123	128007
379	78301	127755
380	78489	127518
381	78657	127252
382	78819	126975
383	79004	126736
384	79201	126516
385	79363	126241
386	79535	125982
387	79829	125916
388	80057	125745
389	80254	125525
390	80454	125311
391	80634	125064
392	80881	124923
393	81072	124695
394	81271	124478
395	81469	124261
396	81655	124025
397	81893	123868
398	82124	123702
399	82342	123513
400	82537	123291
401	82759	123110
402	82925	122844
403	83117	122618
404	83313	122398
405	83520	122195
406	83750	122024
407	83939	121794
408	84133	121571
409	84380	121424
410	84552	121171
411	84712	120900
412	84871	120628
413	85052	120388
414	85241	120160
415	85449	119957
416	85632	119720
417	85886	119584
418	86089	119374
419	86332	119220
420	86586	119082
421	86817	118911
422	86987	118657
423	87178	118430
424	87326	118147
425	87552	117970
426	87714	117706
427	87920	117501
428	88153	117332
429	88402	117185
430	88602	116972
431	88808	116766
432	89012	116559
433	89223	116360
434	89462	116198
435	89669	115993
436	89856	115764
437	90060	115556
438	90218	115290
439	90495	115176
440	90743	115023
441	90923	114786
442	91126	114576
443	91350	114394
444	91589	114229
445	91771	113993
446	92004	113821
447	92245	113660
448	92477	113486
449	92695	113294
450	92877	113059
451	93019	112775
452	93200	112539
453	93373	112294
454	93540	112042
455	93750	111843
456	93936	111613
457	94167	111438
458	94368	111226
459	94541	110983
460	94722	110749
461	94898	110509
462	95100	110300
463	95297	110084
464	95508	109885
465	95718	109685
466	95928	109486
467	96159	109309
468	96323	109057
469	96494	108812
470	96690	108596
471	96923	108423
472	97155	108247
473	97298	107972
474	97498	107761
475	97733	107589
476	97931	107375
477	98194	107233
478	98375	107000
479	98521	106731
480	98749	106550
481	99000	106395
482	99171	106152
483	99338	105905
484	99534	105691
485	99729	105475
486	99930	105266
487	100135	105060
488	100365	104880
489	100565	104670
490	100774	104469
491	101009	104294
492	101242	104117
493	101449	103913
494	101643	103696
495	101874	103517
496	102077	103309
497	102269	103090
498	102559	102970
499	102775	102775
500	102915	102504
501	103145	102323
502	103298	102066
503	103589	101945
504	103807	101751
505	103964	101498
506	104158	101282
507	104368	101081
508	104587	100888
509	104791	100681
510	104984	100465
511	105206	100275
512	105394	100053
513	105589	99837
514	105787	99625
515	105976	99404
516	106192	99208
517	106369	98976
518	106555	98753
519	106806	98590
520	107058	98428
521	107250	98210
522	107405	97958
523	107612	97755
524	107794	97528
525	107978	97303
526	108222	97133
527	108442	96941
528	108612	96704
529	108806	96488
530	108976	96252
531	109181	96046
532	109380	95836
533	109564	95612
534	109736	95378
535	109913	95148
536	110138	94961
537	110325	94740
538	110539	94543
539	110735	94330
540	111000	94176
541	111229	93991
542	111410	93764
543	111631	93573
544	111840	93371
545	112022	93146
546	112230	92944
547	112445	92746
548	112656	92546
549	112846	92328
550	113028	92104
551	113275	91933
552	113514	91756
553	113695	91530
554	113895	91321
555	114089	91107
556	114298	90905
557	114482	90683
558	114675	90468
559	114895	90274
560	115169	90123
561	115437	89967
562	115712	89816
563	115892	89590
564	116114	89398
565	116370	89230
566	116581	89029
567	116833	88858
568	116986	88613
569	117164	88387
570	117354	88170
571	117545	87953
572	117798	87783
573	117998	87574
574	118203	87367
575	118401	87156
576	118575	86928
577	118758	86705
578	118948	86489
579	119125	86263
580	119346	86069
581	119568	85875
582	119777	85672
583	119968	85457
584	120213	85279
585	120420	85074
586	120657	84892
587	120822	84657
588	121013	84442
589	121162	84197
590	121364	83989
591	121619	83819
592	121834	83620
593	122051	83422
594	122203	83180
595	122430	82989
596	122663	82803
597	122843	82580
598	123113	82418
599	123295	82196
600	123469	81970
601	123666	81759
602	123835	81529
603	124091	81358
604	124327	81172
605	124546	80975
606	124785	80792
607	124985	80582
608	125194	80379
609	125343	80137
610	125548	79931
611	125805	79758
612	125980	79534
613	126163	79314
614	126358	79102
615	126535	78879
616	126716	78658
617	126937	78462
618	127062	78208
619	127310	78029
620	127516	77824
621	127688	77598
622	127869	77378
623	128067	77169
624	128305	76983
625	128466	76751
626	128617	76514
627	128787	76288
628	128940	76052
629	129182	75869
630	129345	75639
631	129546	75432
632	129753	75228
633	129933	75008
634	130110	74788
635	130296	74572
636	130498	74365
637	130696	74157
638	130883	73942
639	131131	73761
640	131305	73539
641	131481	73318
642	131681	73111
643	131854	72888
644	132095	72703
645	132233	72462
646	132455	72266
647	132617	72039
648	132795	71819
649	132948	71587
650	133138	71375
651	133317	71157
652	133514	70948
653	133719	70744
654	133948	70553
655	134138	70341
656	134426	70179
657	134611	69965
658	134834	69770
659	134990	69540
660	135152	69314
661	135330	69096
662	135504	68876
663	135693	68664
664	135862	68441
665	136114	68261
666	136330	68062
667	136531	67856
668	136704	67637
669	136925	67441
670	137170	67256
671	137415	67072
672	137618	66866
673	137849	66674
674	138049	66468
675	138230	66252
676	138456	66058
677	138660	65853
678	138901	65666
679	139148	65481
680	139289	65247
681	139465	65029
682	139636	64809
683	139841	64605
684	140083	64417
685	140260	64201
686	140437	63984
687	140621	63770
688	140800	63554
689	140944	63322
690	141142	63115
691	141329	62903
692	141532	62699
693	141703	62480
694	141889	62268
695	142118	62074
696	142360	61887
697	142515	61661
698	142764	61476
699	142916	61249
700	143159	61062
701	143398	60872
702	143602	60668
703	143756	60442
704	143930	60226
705	144111	60012
706	144264	59787
707	144447	59574
708	144776	59421
709	144960	59209
710	145132	58991
711	145308	58776
712	145507	58570
713	145719	58369
714	145947	58174
715	146118	57957
716	146310	57748
717	146461	57524
718	146683	57326
719	146907	57130
720	147044	56900
721	147311	56720
722	147473	56500
723	147682	56298
724	147919	56107
725	148070	55883
726	148317	55695
727	148549	55501
728	148814	55320
729	149001	55110
730	149170	54893
731	149335	54674
732	149507	54459
733	149729	54261
734	149892	54043
735	150033	53816
736	150224	53607
737	150383	53388
738	150663	53211
739	150824	52992
740	151030	52789
741	151235	52585
742	151455	52387
743	151653	52181
744	151839	51971
745	152083	51781
746	152290	51578
747	152509	51380
748	152669	51161
749	152856	50952
750	153012	50732
751	153196	50522
752	153391	50315
753	153617	50119
754	153788	49904
755	154020	49710
756	154218	49504
757	154398	49293
758	154588	49085
759	154794	48882
760	154965	48668
761	155121	48450
762	155269	48229
763	155435	48013
764	155681	47823
765	155929	47633
766	156123	47427
767	156344	47229
768	156542	47023
769	156803	46837
770	157006	46633
771	157289	46453
772	157523	46258
773	157734	46056
774	157974	45863
775	158216	45670
776	158390	45458
777	158612	45259
778	158809	45053
779	159011	44849
780	159261	44658
781	159507	44466
782	159706	44260
783	159914	44057
784	160107	43851
785	160324	43650
786	160502	43439
787	160666	43224
788	160867	43020
789	161131	42832
790	161408	42647
791	161607	42442
792	161779	42229
793	161974	42023
794	162162	41815
795	162378	41614
796	162614	41418
797	162852	41223
798	163029	41012
799	163212	40803
800	163404	40596
801	163625	40396
802	163814	40188
803	164042	39990
804	164297	39798
805	164461	39584
806	164591	39363
807	164783	39156
808	164985	38952
809	165335	38782
810	165519	38573
811	165761	38378
812	165949	38170
813	166162	37968
814	166335	37757
815	166538	37552
816	166778	37356
817	166953	37146
818	167206	36952
819	167416	36750
820	167619	36545
821	167805	36337
822	168104	36153
823	168349	35958
824	168528	35748
825	168709	35539
826	168964	35345
827	169191	35145
828	169385	34939
829	169604	34738
830	169836	34539
831	170123	34351
832	170295	34140
833	170531	33942
834	170752	33741
835	170949	33535
836	171134	33327
837	171316	33118
838	171536	32916
839	171703	32705
840	171949	32508
841	172174	32308
842	172437	32114
843	172616	31905
844	172817	31700
845	172989	31489
846	173235	31292
847	173423	31085
848	173647	30884
849	173936	30694
850	174148	30491
851	174311	30279
852	174537	30078
853	174780	29880
854	174991	29676
855	175139	29462
856	175355	29260
857	175539	29051
858	175754	28849
859	175935	28640
860	176180	28442
861	176431	28245
862	176616	28037
863	176798	27829
864	177001	27624
865	177233	27424
866	177456	27222
867	177621	27011
868	177842	26809
869	177987	26595
870	178251	26400
871	178429	26191
872	178599	25981
873	178774	25772
874	179025	25575
875	179233	25370
876	179381	25158
877	179569	24951
878	179764	24745
879	179967	24540
880	180166	24335
881	180324	24125
882	180542	23922
883	180759	23719
884	180961	23514
885	181196	23314
886	181429	23113
887	181621	22907
888	181880	22709
889	182050	22500
890	182248	22295
891	182488	22095
892	182689	21890
893	182858	21681
894	183096	21480
895	183282	21273
896	183489	21069
897	183649	20860
898	183837	20653
899	184028	20447
900	184257	20245
901	184485	20043
902	184695	19839
903	184914	19636
904	185196	19440
905	185379	19233
906	185609	19031
907	185822	18827
908	186048	18625
909	186288	18424
910	186498	18219
911	186716	18016
912	186931	17812
913	187173	17611
914	187349	17404
915	187540	17198
916	187758	16994
917	188015	16794
918	188191	16587
919	188352	16378
920	188563	16174
921	188748	15967
922	188989	15766
923	189175	15559
924	189382	15355
925	189595	15151
926	189814	14947
927	189973	14739
928	190177	14534
929	190360	14328
930	190546	14122
931	190734	13916
932	190935	13711
933	191127	13505
934	191315	13300
935	191496	13093
936	191718	12890
937	191911	12684
938	192122	12480
939	192339	12277
940	192543	12072
941	192720	11865
942	192929	11661
943	193065	11453
944	193298	11250
945	193521	11046
946	193730	10842
947	194015	10642
948	194200	10436
949	194373	10230
950	194526	10022
951	194754	9819
952	194989	9616
953	195155	9410
954	195402	9207
955	195607	9002
956	195758	8795
957	195985	8592
958	196156	8386
959	196374	8182
960	196543	7976
961	196764	7772
962	196936	7566
963	197218	7365
964	197422	7160
965	197626	6955
966	197770	6749
967	197981	6544
968	198172	6339
969	198360	6134
970	198577	5930
971	198742	5725
972	198932	5520
973	199108	5314
974	199326	5110
975	199591	4907
976	199826	4704
977	200004	4499
978	200155	4293
979	200365	4089
980	200543	3884
981	200688	3678
982	200906	3474
983	201095	3269
984	201327	3065
985	201613	2862
986	201833	2658
987	202051	2454
988	202296	2250
989	202546	2045
990	202757	1841
991	203001	1637
992	203238	1432
993	203467	1228
994	203685	1023
995	203849	818
996	204046	613
997	204276	409
998	204470	204
999	204648	0
