iter	RMSE
0	68.55410903
1	68.27944715
2	68.00811508
3	67.73764771
4	67.47090645
5	67.20418432
6	66.94444165
7	66.69118354
8	66.44106936
9	66.19089454
10	65.94416862
11	65.69103576
12	65.45434433
13	65.21901318
14	64.98764549
15	64.75778834
16	64.53339602
17	64.31090138
18	64.09067146
19	63.87548563
20	63.65239935
21	63.44345381
22	63.21105444
23	63.0072159
24	62.80688679
25	62.60591881
26	62.40977434
27	62.20974604
28	62.02096619
29	61.8362086
30	61.65326469
31	61.47264218
32	61.29289149
33	61.1169713
34	60.94570492
35	60.76637118
36	60.59776909
37	60.42363141
38	60.25895271
39	60.08968563
40	59.93072042
41	59.77442641
42	59.62048299
43	59.46784911
44	59.31956389
45	59.17281743
46	59.02787713
47	58.88392019
48	58.73672377
49	58.59399453
50	58.45532676
51	58.3202429
52	58.18720543
53	58.05716014
54	57.92917012
55	57.80074968
56	57.67499494
57	57.55047724
58	57.41996479
59	57.30107971
60	57.18333452
61	57.06727995
62	56.95118548
63	56.83828331
64	56.71844537
65	56.60739048
66	56.49366515
67	56.38143304
68	56.27503703
69	56.17226023
70	56.0651184
71	55.96180663
72	55.8616652
73	55.76347511
74	55.66262063
75	55.56271685
76	55.46986576
77	55.37756539
78	55.28492305
79	55.19660738
80	55.10677208
81	55.01475258
82	54.92255434
83	54.83664142
84	54.74715912
85	54.6617306
86	54.58018706
87	54.49407845
88	54.41013428
89	54.33307938
90	54.25446557
91	54.1739524
92	54.09684784
93	54.01798263
94	53.94439611
95	53.86818999
96	53.79294417
97	53.71908955
98	53.64951337
99	53.58144548
100	53.51192476
101	53.44089507
102	53.37720621
103	53.31506054
104	53.25184939
105	53.1900112
106	53.12585907
107	53.06697021
108	53.00200999
109	52.93603234
110	52.87949325
111	52.81984961
112	52.7588525
113	52.70532263
114	52.65274517
115	52.59482182
116	52.53927374
117	52.48682036
118	52.43472355
119	52.38516544
120	52.32656695
121	52.27100217
122	52.21285168
123	52.16177426
124	52.11467442
125	52.06678067
126	52.02228639
127	51.97021187
128	51.92664797
129	51.87235812
130	51.82536226
131	51.7770576
132	51.71539656
133	51.66728412
134	51.61801359
135	51.57291243
136	51.51472544
137	51.46906464
138	51.42255012
139	51.37415555
140	51.33547536
141	51.28953664
142	51.25227701
143	51.19774368
144	51.16141911
145	51.12136156
146	51.08774988
147	51.04933095
148	51.01139081
149	50.97011178
150	50.93551578
151	50.89430773
152	50.85535011
153	50.82184384
154	50.78778163
155	50.75167129
156	50.72174277
157	50.6822373
158	50.6542384
159	50.62359679
160	50.58839585
161	50.55048067
162	50.51420069
163	50.48639716
164	50.45689944
165	50.41379379
166	50.37908887
167	50.34735012
168	50.31987526
169	50.28552936
170	50.25965522
171	50.22502374
172	50.20323762
173	50.17765977
174	50.14840813
175	50.11675746
176	50.0851595
177	50.05731708
178	50.02812449
179	50.00510345
180	49.97688174
181	49.95319169
182	49.92494334
183	49.89557869
184	49.85834872
185	49.83145694
186	49.80515462
187	49.77830456
188	49.75466366
189	49.7290721
190	49.71224342
191	49.69116903
192	49.6661993
193	49.64415436
194	49.62278737
195	49.59633359
196	49.56781111
197	49.54516698
198	49.51158868
199	49.49170986
200	49.46993074
201	49.45134724
202	49.42839051
203	49.4080059
204	49.38570367
205	49.361637
206	49.34117013
207	49.31458443
208	49.28940477
209	49.26833295
210	49.2512729
211	49.22628829
212	49.1998105
213	49.17488478
214	49.1569581
215	49.13375949
216	49.12089563
217	49.1020207
218	49.08026104
219	49.06617078
220	49.04974719
221	49.02237883
222	49.00082605
223	48.9819682
224	48.9635301
225	48.94528899
226	48.91964903
227	48.89718751
228	48.87337984
229	48.85339043
230	48.83648926
231	48.81421607
232	48.79712718
233	48.77886809
234	48.7603283
235	48.74417802
236	48.72445675
237	48.70935801
238	48.69393324
239	48.68014681
240	48.65529033
241	48.63829259
242	48.62371639
243	48.6070989
244	48.58566731
245	48.57174183
246	48.55361469
247	48.53419119
248	48.51271348
249	48.50223805
250	48.4890147
251	48.47046979
252	48.45834846
253	48.44575911
254	48.43327789
255	48.41313742
256	48.39957757
257	48.38925327
258	48.3772064
259	48.36365043
260	48.35227788
261	48.3406292
262	48.32963641
263	48.31404853
264	48.29595036
265	48.27575259
266	48.26034017
267	48.23959061
268	48.21884052
269	48.20604591
270	48.19467536
271	48.17778109
272	48.16820458
273	48.1428148
274	48.13316688
275	48.1178013
276	48.10714174
277	48.09145931
278	48.08322903
279	48.06692983
280	48.05930724
281	48.04971834
282	48.02934962
283	48.01797937
284	48.00490081
285	47.97621384
286	47.96375387
287	47.93520267
288	47.92559739
289	47.91472896
290	47.89740364
291	47.87742655
292	47.8670009
293	47.85787236
294	47.83725559
295	47.82924104
296	47.81169289
297	47.793873
298	47.77821479
299	47.76165899
300	47.75224761
301	47.74276091
302	47.72791687
303	47.72008748
304	47.70932774
305	47.70021145
306	47.67765924
307	47.67102987
308	47.66077983
309	47.65401224
310	47.6374784
311	47.62329833
312	47.6091282
313	47.59889317
314	47.58987194
315	47.5830971
316	47.57022507
317	47.55740062
318	47.54379674
319	47.52769286
320	47.50836242
321	47.49399327
322	47.48063969
323	47.4610485
324	47.45307133
325	47.44127294
326	47.42986836
327	47.42271368
328	47.40719039
329	47.38984034
330	47.37818279
331	47.36476951
332	47.35599992
333	47.33947028
334	47.32895463
335	47.31572267
336	47.3058747
337	47.28779858
338	47.27217535
339	47.25144861
340	47.23405706
341	47.2229495
342	47.21637342
343	47.20552316
344	47.19961054
345	47.18856634
346	47.17022078
347	47.16404777
348	47.14559969
349	47.13484904
350	47.122231
351	47.11715965
352	47.10961245
353	47.09864452
354	47.09060165
355	47.07304322
356	47.06515648
357	47.05626798
358	47.04561018
359	47.03536868
360	47.02861291
361	47.0101002
362	46.98994396
363	46.98039808
364	46.97275855
365	46.96670893
366	46.94828674
367	46.9444954
368	46.93570477
369	46.91763123
370	46.90613959
371	46.89560587
372	46.89042083
373	46.88198403
374	46.87080023
375	46.85606283
376	46.85172708
377	46.84546458
378	46.83696496
379	46.81975365
380	46.81476767
381	46.80646565
382	46.79031269
383	46.78281079
384	46.77513466
385	46.77144898
386	46.76599346
387	46.75905886
388	46.75053199
389	46.7435345
390	46.73351543
391	46.72303951
392	46.71817459
393	46.70889228
394	46.69206278
395	46.67489774
396	46.6594003
397	46.65020028
398	46.64407557
399	46.63710404
400	46.62935619
401	46.62213508
402	46.60825967
403	46.59559601
404	46.5850051
405	46.57844031
406	46.57416126
407	46.56803958
408	46.56129278
409	46.55848977
410	46.55371051
411	46.54499677
412	46.52833701
413	46.51865727
414	46.51085053
415	46.50174876
416	46.48766476
417	46.48115442
418	46.46861143
419	46.45550755
420	46.45125492
421	46.44580681
422	46.42909113
423	46.41679271
424	46.40244601
425	46.39726691
426	46.38841764
427	46.38250556
428	46.37729224
429	46.36961298
430	46.36596198
431	46.35951747
432	46.35273595
433	46.34809264
434	46.34034887
435	46.334288
436	46.32746785
437	46.31645595
438	46.31109102
439	46.30203009
440	46.28677501
441	46.26878617
442	46.25917166
443	46.25081658
444	46.2438091
445	46.24028527
446	46.23332725
447	46.22757333
448	46.22287221
449	46.21833259
450	46.20944322
451	46.19903679
452	46.19448315
453	46.17746909
454	46.16335044
455	46.15633553
456	46.15378997
457	46.14708491
458	46.13921969
459	46.12869361
460	46.12290763
461	46.11438598
462	46.10395078
463	46.09939214
464	46.09266161
465	46.0886316
466	46.08469198
467	46.07349031
468	46.06882617
469	46.06163872
470	46.05488656
471	46.0466775
472	46.04400136
473	46.03983965
474	46.03491131
475	46.02264531
476	46.01512233
477	46.00741047
478	45.99935422
479	45.99244187
480	45.98279453
481	45.97732758
482	45.96860582
483	45.96177543
484	45.94657765
485	45.94141029
486	45.93316773
487	45.93022067
488	45.9254377
489	45.91986699
490	45.90807858
491	45.89979477
492	45.8929321
493	45.88539373
494	45.87781883
495	45.87319949
496	45.86470057
497	45.86167851
498	45.85783558
499	45.85223165
500	45.83867789
501	45.83469029
502	45.829397
503	45.82607826
504	45.81075154
505	45.80279176
506	45.79712955
507	45.78934415
508	45.78457004
509	45.77579977
510	45.77092404
511	45.75783409
512	45.74864884
513	45.74253906
514	45.73710239
515	45.73314133
516	45.72302477
517	45.71569739
518	45.71144381
519	45.70104943
520	45.69418052
521	45.68884142
522	45.68228072
523	45.677144
524	45.67356759
525	45.6689394
526	45.65634759
527	45.64839043
528	45.64328831
529	45.64063138
530	45.63385979
531	45.62214236
532	45.61586778
533	45.6138569
534	45.60927293
535	45.60662585
536	45.59725335
537	45.59008476
538	45.58545105
539	45.57763394
540	45.5731514
541	45.5661226
542	45.55421008
543	45.54497932
544	45.54018848
545	45.53527864
546	45.52894173
547	45.52434032
548	45.52063041
549	45.5152265
550	45.50062962
551	45.49118784
552	45.48193836
553	45.47668558
554	45.47178223
555	45.46472737
556	45.46038058
557	45.45748298
558	45.45212498
559	45.44732139
560	45.4426286
561	45.43781658
562	45.43301444
563	45.42872846
564	45.42408571
565	45.41869259
566	45.40807078
567	45.40382106
568	45.39818337
569	45.39339784
570	45.38664286
571	45.38002212
572	45.37196448
573	45.36005003
574	45.35544636
575	45.34484841
576	45.33404862
577	45.32879804
578	45.323215
579	45.31921777
580	45.31179383
581	45.30619679
582	45.30100849
583	45.29647327
584	45.28921537
585	45.28195631
586	45.27136945
587	45.26610415
588	45.2600112
589	45.25634966
590	45.25321395
591	45.2484429
592	45.24288424
593	45.24043636
594	45.23647505
595	45.22560166
596	45.22133032
597	45.20775749
598	45.20436774
599	45.19509986
600	45.18932121
601	45.18583903
602	45.17877087
603	45.17495345
604	45.1641429
605	45.15945504
606	45.15277111
607	45.14283526
608	45.13742347
609	45.12918651
610	45.12529166
611	45.11982396
612	45.11524959
613	45.11055366
614	45.10499295
615	45.10189308
616	45.09077034
617	45.08700531
618	45.08065924
619	45.07609137
620	45.06764416
621	45.06264093
622	45.05131389
623	45.04518439
624	45.03286748
625	45.02534988
626	45.01815015
627	45.00972953
628	45.00163555
629	44.99485324
630	44.98472508
631	44.98047735
632	44.97442068
633	44.9627759
634	44.957758
635	44.95112511
636	44.94401253
637	44.93592773
638	44.93111398
639	44.92911148
640	44.92249688
641	44.91869972
642	44.9112321
643	44.900672
644	44.89657555
645	44.89453696
646	44.88436813
647	44.87818577
648	44.87201158
649	44.86233828
650	44.85844732
651	44.85621904
652	44.84922225
653	44.84797555
654	44.83994263
655	44.83751487
656	44.82969823
657	44.82652515
658	44.82074713
659	44.81625209
660	44.80894953
661	44.79964952
662	44.79517194
663	44.78305585
664	44.77504442
665	44.77236911
666	44.76316396
667	44.7566243
668	44.75223736
669	44.74282909
670	44.7351135
671	44.73069883
672	44.72296455
673	44.71403583
674	44.70755686
675	44.69929048
676	44.69164585
677	44.68461272
678	44.6756416
679	44.67095532
680	44.66213701
681	44.65449357
682	44.65191676
683	44.64714339
684	44.6413769
685	44.63474233
686	44.63067437
687	44.62256605
688	44.61962463
689	44.61041367
690	44.59879029
691	44.59099533
692	44.58772963
693	44.5818904
694	44.57569484
695	44.56522776
696	44.5607796
697	44.55720441
698	44.551941
699	44.54569282
700	44.54108069
701	44.53512328
702	44.53011777
703	44.5220078
704	44.51403273
705	44.50583648
706	44.50107321
707	44.49022322
708	44.48280345
709	44.47835312
710	44.46618558
711	44.46281212
712	44.45783184
713	44.45392824
714	44.44515792
715	44.43783839
716	44.43299648
717	44.42814949
718	44.42536675
719	44.41577991
720	44.40750934
721	44.40321398
722	44.39694184
723	44.38850365
724	44.37983742
725	44.37522781
726	44.36816429
727	44.36500836
728	44.3542437
729	44.34457761
730	44.33813441
731	44.33249051
732	44.32518584
733	44.32258229
734	44.31821478
735	44.31293821
736	44.31180428
737	44.30673092
738	44.30312152
739	44.29435788
740	44.28399793
741	44.27587183
742	44.26914743
743	44.26343988
744	44.25859566
745	44.25384083
746	44.25052281
747	44.24723808
748	44.23702565
749	44.22787531
750	44.22333679
751	44.21818769
752	44.21199151
753	44.20840641
754	44.19939358
755	44.19517567
756	44.18787578
757	44.18098839
758	44.17202035
759	44.16351933
760	44.15560934
761	44.1475421
762	44.13898289
763	44.13127635
764	44.12182892
765	44.11666186
766	44.11399554
767	44.11149114
768	44.10194618
769	44.09855556
770	44.09380488
771	44.08408474
772	44.0787633
773	44.06749406
774	44.05716955
775	44.05198419
776	44.04166982
777	44.03589297
778	44.03462937
779	44.03305481
780	44.02421749
781	44.02070444
